Date,Open,High,Low,Close,Adj Close,Volume
2019-05-31,176.229996,177.990005,174.990005,175.070007,173.005280,27043600
2019-06-03,175.600006,177.919998,170.270004,173.300003,171.256134,40396100
2019-06-04,175.440002,179.830002,174.520004,179.639999,177.521378,30968000
2019-06-05,184.279999,184.990005,181.139999,182.539993,180.387146,29773400
2019-06-06,183.080002,185.470001,182.149994,185.220001,183.035568,22526300
2019-06-07,186.509995,191.919998,185.770004,190.149994,187.907410,30684400
2019-06-10,191.809998,195.369995,191.619995,192.580002,190.308762,26220900
2019-06-11,194.860001,196.000000,193.600006,194.809998,192.512451,26932900
2019-06-12,193.949997,195.970001,193.389999,194.190002,191.899780,18221800
2019-06-13,194.699997,196.789993,193.600006,194.149994,191.860229,21674600
2019-06-14,191.550003,193.589996,190.300003,192.740005,190.466873,18761500
2019-06-17,192.899994,194.960007,192.169998,193.889999,191.603317,14669100
2019-06-18,196.050003,200.289993,195.210007,198.449997,196.109528,26551000
2019-06-19,199.679993,199.880005,197.309998,197.869995,195.536377,21124200
2019-06-20,200.369995,200.610001,198.029999,199.460007,197.107620,21514000
2019-06-21,198.800003,200.850006,198.149994,198.779999,196.435623,47800600
2019-06-24,198.539993,200.160004,198.169998,198.580002,196.237991,18220400
2019-06-25,198.429993,199.259995,195.289993,195.570007,193.263504,21070300
2019-06-26,197.770004,200.990005,197.350006,199.800003,197.443619,26067500
2019-06-27,200.289993,201.570007,199.570007,199.740005,197.384323,20899700
2019-06-28,198.679993,199.500000,197.050003,197.919998,195.585770,31110600
2019-07-01,203.169998,204.490005,200.649994,201.550003,199.172989,27316700
2019-07-02,201.410004,203.130005,201.360001,202.729996,200.339050,16935200
2019-07-03,203.279999,204.440002,202.690002,204.410004,201.999237,11362000
2019-07-05,203.350006,205.080002,202.899994,204.229996,201.821350,17265500
2019-07-08,200.809998,201.399994,198.410004,200.020004,197.661011,25338600
2019-07-09,199.199997,201.509995,198.809998,201.240005,198.866638,20578000
2019-07-10,201.850006,203.729996,201.559998,203.229996,200.833160,17897100
2019-07-11,203.309998,204.389999,201.710007,201.750000,199.370621,20191800
2019-07-12,202.449997,204.000000,202.199997,203.300003,200.902344,17595200
2019-07-15,204.089996,205.869995,204.000000,205.210007,202.789810,16947400
2019-07-16,204.589996,206.110001,203.500000,204.500000,202.088181,16866800
2019-07-17,204.050003,205.089996,203.270004,203.350006,200.951736,14107500
2019-07-18,204.000000,205.880005,203.699997,205.660004,203.234497,18582200
2019-07-19,205.789993,206.500000,202.360001,202.589996,200.200699,20929300
2019-07-22,203.649994,207.229996,203.610001,207.220001,204.776108,22277900
2019-07-23,208.460007,208.910004,207.289993,208.839996,206.376984,18355200
2019-07-24,207.669998,209.149994,207.169998,208.669998,206.209015,14991600
2019-07-25,208.889999,209.240005,206.729996,207.020004,204.578476,13909600
2019-07-26,207.479996,209.729996,207.139999,207.740005,205.289978,17618900
2019-07-29,208.460007,210.639999,208.440002,209.679993,207.207077,21673400
2019-07-30,208.759995,210.160004,207.309998,208.779999,206.317688,33935700
2019-07-31,216.419998,221.369995,211.300003,213.039993,210.527466,69281400
2019-08-01,213.899994,218.029999,206.740005,208.429993,205.971817,54017900
2019-08-02,205.529999,206.429993,201.630005,204.020004,201.613846,40862100
2019-08-05,197.990005,198.649994,192.580002,193.339996,191.059784,52393000
2019-08-06,196.309998,198.070007,194.039993,197.000000,194.676620,35824800
2019-08-07,195.410004,199.559998,193.820007,199.039993,196.692566,33364400
2019-08-08,200.199997,203.529999,199.389999,203.429993,201.030792,27009500
2019-08-09,201.300003,202.759995,199.289993,200.990005,199.374222,24619700
2019-08-12,199.619995,202.050003,199.149994,200.479996,198.868317,22474900
2019-08-13,201.020004,212.139999,200.479996,208.970001,207.290085,47218500
2019-08-14,203.160004,206.440002,202.589996,202.750000,201.120071,36547400
2019-08-15,203.460007,205.139999,199.669998,201.740005,200.118195,27227400
2019-08-16,204.279999,207.160004,203.839996,206.500000,204.839920,27620400
2019-08-19,210.619995,212.729996,210.029999,210.350006,208.658981,24413600
2019-08-20,210.880005,213.350006,210.320007,210.360001,208.668900,26884300
2019-08-21,212.990005,213.649994,211.600006,212.639999,210.930573,21535400
2019-08-22,213.190002,214.440002,210.750000,212.460007,210.752029,22253700
2019-08-23,209.429993,212.050003,201.000000,202.639999,201.010971,46818000
2019-08-26,205.860001,207.190002,205.059998,206.490005,204.830002,26043600
2019-08-27,207.860001,208.550003,203.529999,204.160004,202.518738,25873300
2019-08-28,204.100006,205.720001,203.320007,205.529999,203.877731,15938800
2019-08-29,208.500000,209.320007,206.660004,209.009995,207.329742,20990500
2019-08-30,210.160004,210.449997,207.199997,208.740005,207.061920,21143400
2019-09-03,206.429993,206.979996,204.220001,205.699997,204.046341,20023000
2019-09-04,208.389999,209.479996,207.320007,209.190002,207.508316,19188100
2019-09-05,212.000000,213.970001,211.509995,213.279999,211.565414,23913700
